UPC11,Material description
73390580001,ACUVUE2 8.3 -0.50 6P RX
73390580002,ACUVUE2 8.3 +0.50 6P RX
73390580003,ACUVUE2 8.3 -0.75 6P RX
73390580004,ACUVUE2 8.3 +0.75 6P RX
73390580005,ACUVUE2 8.3 -1.00 6P RX
73390580006,ACUVUE2 8.3 +1.00 6P RX
73390580007,ACUVUE2 8.3 -1.25 6P RX
73390580008,ACUVUE2 8.3 +1.25 6P RX
73390580009,ACUVUE2 8.3 -1.50 6P RX
73390580010,ACUVUE2 8.3 +1.50 6P RX
73390580011,ACUVUE2 8.3 -1.75 6P RX
73390580012,ACUVUE2 8.3 +1.75 6P RX
73390580013,ACUVUE2 8.3 -2.00 6P RX
73390580014,ACUVUE2 8.3 +2.00 6P RX
73390580015,ACUVUE2 8.3 -2.25 6P RX
73390580016,ACUVUE2 8.3 +2.25 6P RX
73390580017,ACUVUE2 8.3 -2.50 6P RX
73390580018,ACUVUE2 8.3 +2.50 6P RX
73390580019,ACUVUE2 8.3 -2.75 6P RX
73390580020,ACUVUE2 8.3 +2.75 6P RX
73390580021,ACUVUE2 8.3 -3.00 6P RX
73390580022,ACUVUE2 8.3 +3.00 6P RX
73390580023,ACUVUE2 8.3 -3.25 6P RX
73390580024,ACUVUE2 8.3 +3.25 6P RX
73390580025,ACUVUE2 8.3 -3.50 6P RX
73390580026,ACUVUE2 8.3 +3.50 6P RX
73390580027,ACUVUE2 8.3 -3.75 6P RX
73390580028,ACUVUE2 8.3 +3.75 6P RX
73390580029,ACUVUE2 8.3 -4.00 6P RX
73390580030,ACUVUE2 8.3 +4.00 6P RX
73390580031,ACUVUE2 8.3 -4.25 6P RX
73390580032,ACUVUE2 8.3 +4.25 6P RX
73390580033,ACUVUE2 8.3 -4.50 6P RX
73390580034,ACUVUE2 8.3 +4.50 6P RX
73390580035,ACUVUE2 8.3 -4.75 6P RX
73390580036,ACUVUE2 8.3 +4.75 6P RX
73390580037,ACUVUE2 8.3 -5.00 6P RX
73390580038,ACUVUE2 8.3 +5.00 6P RX
73390580039,ACUVUE2 8.3 -5.25 6P RX
73390580040,ACUVUE2 8.3 +5.25 6P RX
73390580041,ACUVUE2 8.3 -5.50 6P RX
73390580042,ACUVUE2 8.3 +5.50 6P RX
73390580043,ACUVUE2 8.3 -5.75 6P RX
73390580044,ACUVUE2 8.3 +5.75 6P RX
73390580045,ACUVUE2 8.3 -6.00 6P RX
73390580046,ACUVUE2 8.3 +6.00 6P RX
73390580047,ACUVUE2 8.3 -6.50 6P RX
73390580048,ACUVUE2 8.3 +6.50 6P RX
73390580049,ACUVUE2 8.3 -7.00 6P RX
73390580050,ACUVUE2 8.3 +7.00 6P RX
73390580051,ACUVUE2 8.3 -7.50 6P RX
73390580052,ACUVUE2 8.3 +7.50 6P RX
73390580053,ACUVUE2 8.3 -8.00 6P RX
73390580054,ACUVUE2 8.3 +8.00 6P RX
73390580055,ACUVUE2 8.3 -8.50 6P RX
73390580057,ACUVUE2 8.3 -9.00 6P RX
73390580059,ACUVUE2 8.3 -9.50 6P RX
73390580061,ACUVUE2 8.3 -10.00 6P RX
73390580063,ACUVUE2 8.3 -10.50 6P RX
73390580065,ACUVUE2 8.3 -11.00 6P RX
73390580067,ACUVUE2 8.3 -11.50 6P RX
73390580069,ACUVUE2 8.3 -12.00 6P RX
73390581001,ACUVUE2 8.7 -0.50 6P RX
73390581002,ACUVUE2 8.7 +0.50 6P RX
73390581003,ACUVUE2 8.7 -0.75 6P RX
73390581004,ACUVUE2 8.7 +0.75 6P RX
73390581005,ACUVUE2 8.7 -1.00 6P RX
73390581006,ACUVUE2 8.7 +1.00 6P RX
73390581007,ACUVUE2 8.7 -1.25 6P RX
73390581008,ACUVUE2 8.7 +1.25 6P RX
73390581009,ACUVUE2 8.7 -1.50 6P RX
73390581010,ACUVUE2 8.7 +1.50 6P RX
73390581011,ACUVUE2 8.7 -1.75 6P RX
73390581012,ACUVUE2 8.7 +1.75 6P RX
73390581013,ACUVUE2 8.7 -2.00 6P RX
73390581014,ACUVUE2 8.7 +2.00 6P RX
73390581015,ACUVUE2 8.7 -2.25 6P RX
73390581016,ACUVUE2 8.7 +2.25 6P RX
73390581017,ACUVUE2 8.7 -2.50 6P RX
73390581018,ACUVUE2 8.7 +2.50 6P RX
73390581019,ACUVUE2 8.7 -2.75 6P RX
73390581020,ACUVUE2 8.7 +2.75 6P RX
73390581021,ACUVUE2 8.7 -3.00 6P RX
73390581022,ACUVUE2 8.7 +3.00 6P RX
73390581023,ACUVUE2 8.7 -3.25 6P RX
73390581024,ACUVUE2 8.7 +3.25 6P RX
73390581025,ACUVUE2 8.7 -3.50 6P RX
73390581026,ACUVUE2 8.7 +3.50 6P RX
73390581027,ACUVUE2 8.7 -3.75 6P RX
73390581028,ACUVUE2 8.7 +3.75 6P RX
73390581029,ACUVUE2 8.7 -4.00 6P RX
73390581030,ACUVUE2 8.7 +4.00 6P RX
73390581031,ACUVUE2 8.7 -4.25 6P RX
73390581032,ACUVUE2 8.7 +4.25 6P RX
73390581033,ACUVUE2 8.7 -4.50 6P RX
73390581034,ACUVUE2 8.7 +4.50 6P RX
73390581035,ACUVUE2 8.7 -4.75 6P RX
73390581036,ACUVUE2 8.7 +4.75 6P RX
73390581037,ACUVUE2 8.7 -5.00 6P RX
73390581038,ACUVUE2 8.7 +5.00 6P RX
73390581039,ACUVUE2 8.7 -5.25 6P RX
73390581040,ACUVUE2 8.7 +5.25 6P RX
73390581041,ACUVUE2 8.7 -5.50 6P RX
73390581042,ACUVUE2 8.7 +5.50 6P RX
73390581043,ACUVUE2 8.7 -5.75 6P RX
73390581044,ACUVUE2 8.7 +5.75 6P RX
73390581045,ACUVUE2 8.7 -6.00 6P RX
73390581046,ACUVUE2 8.7 +6.00 6P RX
73390581047,ACUVUE2 8.7 -6.50 6P RX
73390581048,ACUVUE2 8.7 +6.50 6P RX
73390581049,ACUVUE2 8.7 -7.00 6P RX
73390581050,ACUVUE2 8.7 +7.00 6P RX
73390581051,ACUVUE2 8.7 -7.50 6P RX
73390581052,ACUVUE2 8.7 +7.50 6P RX
73390581053,ACUVUE2 8.7 -8.00 6P RX
